id,dateTime,height,type
168,5/14/2021 10:55,0.27,low
169,5/14/2021 17:46,1.02,high
170,5/14/2021 23:43,0.55,low
171,5/15/2021 4:34,0.91,high
172,5/15/2021 11:31,0.27,low
173,5/15/2021 18:22,1.03,high
174,5/16/2021 0:16,0.55,low
175,5/16/2021 5:08,0.92,high
176,5/16/2021 12:07,0.27,low
177,5/16/2021 18:57,1.02,high
178,5/17/2021 0:48,0.55,low
179,5/17/2021 5:45,0.92,high
180,5/17/2021 12:43,0.28,low
181,5/17/2021 19:30,1.01,high
182,5/18/2021 1:20,0.56,low
183,5/18/2021 6:21,0.91,high
184,5/18/2021 13:18,0.29,low
185,5/18/2021 20:02,0.99,high
186,5/19/2021 1:51,0.56,low
187,5/19/2021 7:00,0.9,high
188,5/19/2021 13:51,0.3,low
189,5/19/2021 20:34,0.98,high
190,5/20/2021 2:26,0.55,low
191,5/20/2021 7:42,0.88,high
192,5/20/2021 14:25,0.32,low
193,5/20/2021 21:08,0.96,high
194,5/21/2021 3:06,0.53,low
195,5/21/2021 8:33,0.86,high
196,5/21/2021 15:03,0.34,low
197,5/21/2021 21:47,0.95,high
198,5/22/2021 3:55,0.51,low
199,5/22/2021 9:36,0.85,high
200,5/22/2021 15:50,0.39,low
201,5/22/2021 22:30,0.94,high
202,5/23/2021 4:54,0.46,low
203,5/23/2021 10:51,0.84,high
204,5/23/2021 16:48,0.45,low
205,5/23/2021 23:18,0.93,high
206,5/24/2021 6:01,0.4,low
207,5/24/2021 12:14,0.86,high
208,5/24/2021 18:02,0.52,low
209,5/25/2021 0:10,0.93,high
210,5/25/2021 7:08,0.34,low
211,5/25/2021 13:43,0.91,high
212,5/25/2021 19:22,0.58,low
213,5/26/2021 1:05,0.94,high
214,5/26/2021 8:11,0.27,low
215,5/26/2021 15:00,0.97,high
216,5/26/2021 20:46,0.61,low
217,5/27/2021 1:59,0.95,high
218,5/27/2021 9:11,0.23,low
219,5/27/2021 16:05,1.03,high
220,5/27/2021 22:04,0.61,low
221,5/28/2021 2:51,0.97,high
222,5/28/2021 10:08,0.21,low
223,5/28/2021 17:02,1.06,high
224,5/28/2021 22:59,0.61,low
225,5/29/2021 3:44,0.98,high
226,5/29/2021 11:02,0.21,low
227,5/29/2021 17:53,1.07,high
228,5/29/2021 23:48,0.59,low
229,5/30/2021 4:37,0.99,high
230,5/30/2021 11:51,0.22,low
231,5/30/2021 18:40,1.07,high
232,5/31/2021 0:34,0.56,low
233,5/31/2021 5:34,0.99,high
234,5/31/2021 12:36,0.24,low
235,5/31/2021 19:23,1.06,high
236,6/1/2021 1:19,0.54,low
237,6/1/2021 6:31,0.97,high
238,6/1/2021 13:21,0.28,low
239,6/1/2021 20:04,1.04,high
240,6/2/2021 2:05,0.52,low
241,6/2/2021 7:28,0.93,high
242,6/2/2021 14:03,0.32,low
243,6/2/2021 20:43,1.02,high
244,6/3/2021 2:51,0.5,low
245,6/3/2021 8:25,0.89,high
246,6/3/2021 14:43,0.36,low
247,6/3/2021 21:21,1,high
248,6/4/2021 3:43,0.48,low
249,6/4/2021 9:23,0.85,high
250,6/4/2021 15:24,0.41,low
251,6/4/2021 22:01,0.98,high
252,6/5/2021 4:41,0.46,low
253,6/5/2021 10:28,0.82,high
254,6/5/2021 16:10,0.47,low
255,6/5/2021 22:41,0.95,high
256,6/6/2021 5:44,0.43,low
257,6/6/2021 11:45,0.82,high
258,6/6/2021 17:06,0.53,low
259,6/6/2021 23:25,0.93,high
260,6/7/2021 6:40,0.39,low
261,6/7/2021 13:06,0.84,high
262,6/7/2021 18:26,0.59,low
263,6/8/2021 0:12,0.91,high
264,6/8/2021 7:31,0.35,low
265,6/8/2021 14:15,0.89,high
266,6/8/2021 19:53,0.63,low
267,6/9/2021 0:59,0.89,high
268,6/9/2021 8:17,0.32,low
269,6/9/2021 15:13,0.94,high
270,6/9/2021 21:05,0.63,low
271,6/10/2021 1:45,0.88,high
272,6/10/2021 8:59,0.29,low
273,6/10/2021 16:04,0.99,high
274,6/10/2021 21:58,0.63,low
275,6/11/2021 2:29,0.89,high
276,6/11/2021 9:40,0.27,low
277,6/11/2021 16:49,1.02,high
278,6/11/2021 22:41,0.62,low
279,6/12/2021 3:11,0.9,high
280,6/12/2021 10:21,0.26,low
281,6/12/2021 17:29,1.04,high
282,6/12/2021 23:20,0.6,low
283,6/13/2021 3:54,0.91,high
284,6/13/2021 11:01,0.27,low
285,6/13/2021 18:06,1.04,high
286,6/13/2021 23:55,0.59,low
287,6/14/2021 4:36,0.92,high
288,6/14/2021 11:40,0.28,low
289,6/14/2021 18:39,1.03,high
290,6/15/2021 0:29,0.58,low
291,6/15/2021 5:18,0.92,high
292,6/15/2021 12:17,0.29,low
293,6/15/2021 19:10,1.02,high
294,6/16/2021 1:03,0.57,low
295,6/16/2021 6:01,0.91,high
296,6/16/2021 12:51,0.31,low
297,6/16/2021 19:39,1.01,high
298,6/17/2021 1:38,0.55,low
299,6/17/2021 6:47,0.9,high
300,6/17/2021 13:24,0.32,low
301,6/17/2021 20:08,1,high
302,6/18/2021 2:16,0.53,low
303,6/18/2021 7:38,0.88,high
304,6/18/2021 13:59,0.35,low
305,6/18/2021 20:40,1,high
306,6/19/2021 2:57,0.49,low
307,6/19/2021 8:35,0.88,high
308,6/19/2021 14:38,0.39,low
309,6/19/2021 21:14,1,high
310,6/20/2021 3:44,0.45,low
311,6/20/2021 9:36,0.87,high
312,6/20/2021 15:23,0.45,low
313,6/20/2021 21:51,0.99,high
314,6/21/2021 4:37,0.4,low
315,6/21/2021 10:45,0.88,high
316,6/21/2021 16:19,0.52,low
317,6/21/2021 22:35,0.99,high
318,6/22/2021 5:38,0.34,low
319,6/22/2021 12:06,0.89,high
320,6/22/2021 17:26,0.59,low
321,6/22/2021 23:25,0.98,high
322,6/23/2021 6:42,0.29,low
323,6/23/2021 13:34,0.93,high
324,6/23/2021 18:46,0.65,low
325,6/24/2021 0:21,0.98,high
326,6/24/2021 7:45,0.24,low
327,6/24/2021 14:51,0.98,high
328,6/24/2021 20:10,0.67,low
329,6/25/2021 1:21,0.97,high
330,6/25/2021 8:47,0.22,low
331,6/25/2021 15:55,1.02,high
332,6/25/2021 21:38,0.66,low
333,6/26/2021 2:19,0.98,high
334,6/26/2021 9:46,0.21,low
335,6/26/2021 16:51,1.04,high
336,6/26/2021 22:41,0.63,low
337,6/27/2021 3:18,0.97,high
338,6/27/2021 10:41,0.22,low
339,6/27/2021 17:39,1.05,high
340,6/27/2021 23:33,0.59,low
341,6/28/2021 4:21,0.97,high
342,6/28/2021 11:32,0.24,low
343,6/28/2021 18:21,1.05,high
344,6/29/2021 0:21,0.55,low
345,6/29/2021 5:24,0.96,high
346,6/29/2021 12:17,0.27,low
347,6/29/2021 19:00,1.04,high
348,6/30/2021 1:06,0.51,low
349,6/30/2021 6:24,0.93,high
350,6/30/2021 13:00,0.3,low
351,6/30/2021 19:36,1.03,high
352,7/1/2021 1:52,0.48,low
353,7/1/2021 7:20,0.91,high
354,7/1/2021 13:40,0.35,low
355,7/1/2021 20:12,1.02,high
356,7/2/2021 2:37,0.45,low
357,7/2/2021 8:14,0.88,high
358,7/2/2021 14:19,0.39,low
359,7/2/2021 20:46,1.01,high
360,7/3/2021 3:23,0.43,low
361,7/3/2021 9:08,0.85,high
362,7/3/2021 14:56,0.44,low
363,7/3/2021 21:21,0.99,high
364,7/4/2021 4:09,0.41,low
365,7/4/2021 10:06,0.83,high
366,7/4/2021 15:36,0.5,low
367,7/4/2021 21:55,0.97,high
368,7/5/2021 4:58,0.38,low
369,7/5/2021 11:15,0.83,high
370,7/5/2021 16:21,0.56,low
371,7/5/2021 22:32,0.95,high
372,7/6/2021 5:48,0.36,low
373,7/6/2021 12:32,0.85,high
374,7/6/2021 17:18,0.62,low
375,7/6/2021 23:14,0.92,high
376,7/7/2021 6:38,0.33,low
377,7/7/2021 13:42,0.88,high
378,7/7/2021 18:37,0.67,low
379,7/8/2021 0:01,0.9,high
380,7/8/2021 7:28,0.3,low
381,7/8/2021 14:44,0.92,high
382,7/8/2021 20:07,0.68,low
383,7/9/2021 0:51,0.88,high
384,7/9/2021 8:17,0.28,low
385,7/9/2021 15:38,0.96,high
386,7/9/2021 21:19,0.67,low
387,7/10/2021 1:43,0.88,high
388,7/10/2021 9:06,0.26,low
389,7/10/2021 16:25,0.98,high
390,7/10/2021 22:11,0.64,low
391,7/11/2021 2:35,0.88,high
392,7/11/2021 9:52,0.25,low
393,7/11/2021 17:06,1,high
394,7/11/2021 22:54,0.61,low
395,7/12/2021 3:24,0.89,high
396,7/12/2021 10:36,0.25,low
397,7/12/2021 17:41,1.01,high
398,7/12/2021 23:33,0.57,low
399,7/13/2021 4:14,0.89,high
400,7/13/2021 11:18,0.26,low
401,7/13/2021 18:13,1,high
402,7/14/2021 0:10,0.55,low
403,7/14/2021 5:04,0.89,high
404,7/14/2021 11:56,0.28,low
405,7/14/2021 18:42,1,high
406,7/15/2021 0:47,0.52,low
407,7/15/2021 5:55,0.89,high
408,7/15/2021 12:31,0.31,low
409,7/15/2021 19:11,1,high
410,7/16/2021 1:24,0.48,low
411,7/16/2021 6:48,0.89,high
412,7/16/2021 13:06,0.34,low
413,7/16/2021 19:39,1,high
414,7/17/2021 2:04,0.45,low
415,7/17/2021 7:40,0.89,high
416,7/17/2021 13:41,0.38,low
417,7/17/2021 20:09,1,high
418,7/18/2021 2:45,0.41,low
419,7/18/2021 8:34,0.89,high
420,7/18/2021 14:21,0.43,low
421,7/18/2021 20:42,1,high
422,7/19/2021 3:30,0.36,low
423,7/19/2021 9:32,0.89,high
424,7/19/2021 15:05,0.49,low
425,7/19/2021 21:18,1,high
426,7/20/2021 4:21,0.32,low
427,7/20/2021 10:36,0.88,high
428,7/20/2021 15:56,0.55,low
429,7/20/2021 21:59,1,high
430,7/21/2021 5:16,0.28,low
431,7/21/2021 11:57,0.89,high
432,7/21/2021 16:57,0.61,low
433,7/21/2021 22:49,0.98,high
434,7/22/2021 6:18,0.25,low
435,7/22/2021 13:21,0.9,high
436,7/22/2021 18:13,0.66,low
437,7/22/2021 23:48,0.96,high
438,7/23/2021 7:22,0.22,low
439,7/23/2021 14:35,0.93,high
440,7/23/2021 19:39,0.67,low
441,7/24/2021 0:52,0.95,high
442,7/24/2021 8:26,0.21,low
443,7/24/2021 15:38,0.96,high
444,7/24/2021 21:18,0.64,low
445,7/25/2021 1:59,0.93,high
446,7/25/2021 9:30,0.21,low
447,7/25/2021 16:32,0.98,high
448,7/25/2021 22:27,0.58,low
449,7/26/2021 3:08,0.92,high
450,7/26/2021 10:27,0.22,low
451,7/26/2021 17:17,0.99,high
452,7/26/2021 23:21,0.53,low
453,7/27/2021 4:21,0.91,high
454,7/27/2021 11:18,0.25,low
455,7/27/2021 17:55,0.99,high
456,7/28/2021 0:07,0.48,low
457,7/28/2021 5:23,0.91,high
458,7/28/2021 12:02,0.28,low
459,7/28/2021 18:31,0.99,high
460,7/29/2021 0:51,0.44,low
461,7/29/2021 6:17,0.9,high
462,7/29/2021 12:42,0.32,low
463,7/29/2021 19:05,0.99,high
464,7/30/2021 1:33,0.41,low
465,7/30/2021 7:07,0.88,high
466,7/30/2021 13:20,0.36,low
467,7/30/2021 19:37,0.99,high
468,7/31/2021 2:12,0.39,low
469,7/31/2021 7:56,0.87,high
470,7/31/2021 13:55,0.4,low
471,7/31/2021 20:08,0.98,high
472,8/1/2021 2:50,0.37,low
473,8/1/2021 8:45,0.85,high
474,8/1/2021 14:30,0.45,low
475,8/1/2021 20:39,0.97,high
476,8/2/2021 3:28,0.35,low
477,8/2/2021 9:36,0.84,high
478,8/2/2021 15:06,0.49,low
479,8/2/2021 21:09,0.96,high
480,8/3/2021 4:06,0.33,low
481,8/3/2021 10:33,0.84,high
482,8/3/2021 15:45,0.55,low
483,8/3/2021 21:42,0.94,high
484,8/4/2021 4:51,0.31,low
485,8/4/2021 11:39,0.84,high
486,8/4/2021 16:30,0.6,low
487,8/4/2021 22:20,0.91,high
488,8/5/2021 5:40,0.29,low
489,8/5/2021 12:54,0.84,high
490,8/5/2021 17:25,0.64,low
491,8/5/2021 23:06,0.88,high
492,8/6/2021 6:36,0.28,low
493,8/6/2021 14:04,0.86,high
494,8/6/2021 18:41,0.66,low
495,8/7/2021 0:03,0.85,high
496,8/7/2021 7:36,0.26,low
497,8/7/2021 15:03,0.88,high
498,8/7/2021 20:19,0.65,low
499,8/8/2021 1:04,0.83,high
500,8/8/2021 8:33,0.25,low
501,8/8/2021 15:51,0.91,high
502,8/8/2021 21:33,0.61,low
503,8/9/2021 2:05,0.83,high
504,8/9/2021 9:25,0.24,low
505,8/9/2021 16:31,0.93,high
506,8/9/2021 22:23,0.56,low
507,8/10/2021 3:05,0.84,high
508,8/10/2021 10:14,0.24,low
509,8/10/2021 17:06,0.94,high
510,8/10/2021 23:06,0.51,low
511,8/11/2021 4:06,0.86,high
512,8/11/2021 10:58,0.26,low
513,8/11/2021 17:36,0.95,high
514,8/11/2021 23:45,0.46,low
515,8/12/2021 5:02,0.88,high
516,8/12/2021 11:38,0.28,low
517,8/12/2021 18:06,0.96,high
518,8/13/2021 0:24,0.42,low
519,8/13/2021 5:54,0.9,high
520,8/13/2021 12:16,0.32,low
521,8/13/2021 18:36,0.97,high
522,8/14/2021 1:04,0.38,low
523,8/14/2021 6:45,0.91,high
524,8/14/2021 12:53,0.36,low
525,8/14/2021 19:06,0.98,high
526,8/15/2021 1:45,0.34,low
527,8/15/2021 7:36,0.91,high
528,8/15/2021 13:31,0.4,low
529,8/15/2021 19:37,0.98,high
530,8/16/2021 2:27,0.31,low
531,8/16/2021 8:27,0.9,high
532,8/16/2021 14:10,0.45,low
533,8/16/2021 20:11,0.99,high
534,8/17/2021 3:12,0.28,low
535,8/17/2021 9:22,0.89,high
536,8/17/2021 14:53,0.5,low
537,8/17/2021 20:48,0.98,high
538,8/18/2021 3:59,0.26,low
539,8/18/2021 10:26,0.87,high
540,8/18/2021 15:41,0.55,low
541,8/18/2021 21:30,0.97,high
542,8/19/2021 4:51,0.24,low
543,8/19/2021 11:44,0.85,high
544,8/19/2021 16:36,0.59,low
545,8/19/2021 22:21,0.94,high
546,8/20/2021 5:52,0.23,low
547,8/20/2021 12:59,0.85,high
548,8/20/2021 17:48,0.61,low
549,8/20/2021 23:26,0.91,high
550,8/21/2021 6:59,0.23,low
551,8/21/2021 14:08,0.87,high
552,8/21/2021 19:20,0.61,low
553,8/22/2021 0:38,0.88,high
554,8/22/2021 8:09,0.23,low
555,8/22/2021 15:10,0.89,high
556,8/22/2021 21:06,0.56,low
557,8/23/2021 1:56,0.86,high
558,8/23/2021 9:18,0.23,low
559,8/23/2021 16:02,0.91,high
560,8/23/2021 22:14,0.49,low
561,8/24/2021 3:20,0.86,high
562,8/24/2021 10:18,0.24,low
563,8/24/2021 16:46,0.92,high
564,8/24/2021 23:05,0.43,low
565,8/25/2021 4:25,0.87,high
566,8/25/2021 11:06,0.27,low
567,8/25/2021 17:22,0.93,high
568,8/25/2021 23:48,0.38,low
569,8/26/2021 5:19,0.88,high
570,8/26/2021 11:49,0.3,low
571,8/26/2021 17:56,0.93,high
572,8/27/2021 0:26,0.35,low
573,8/27/2021 6:06,0.88,high
574,8/27/2021 12:26,0.34,low
575,8/27/2021 18:28,0.94,high
576,8/28/2021 1:03,0.33,low
577,8/28/2021 6:51,0.88,high
578,8/28/2021 13:01,0.37,low
579,8/28/2021 18:59,0.94,high
580,8/29/2021 1:36,0.32,low
581,8/29/2021 7:36,0.88,high
582,8/29/2021 13:34,0.41,low
583,8/29/2021 19:28,0.94,high
584,8/30/2021 2:10,0.3,low
585,8/30/2021 8:19,0.87,high
586,8/30/2021 14:06,0.44,low
587,8/30/2021 19:56,0.94,high
588,8/31/2021 2:45,0.29,low
589,8/31/2021 9:02,0.86,high
590,8/31/2021 14:37,0.48,low
591,8/31/2021 20:24,0.93,high
592,9/1/2021 3:21,0.28,low
593,9/1/2021 9:50,0.84,high
594,9/1/2021 15:13,0.51,low
595,9/1/2021 20:56,0.91,high
596,9/2/2021 4:01,0.27,low
597,9/2/2021 10:43,0.82,high
598,9/2/2021 15:53,0.55,low
599,9/2/2021 21:32,0.88,high
600,9/3/2021 4:47,0.27,low
601,9/3/2021 11:46,0.81,high
602,9/3/2021 16:41,0.59,low
603,9/3/2021 22:17,0.84,high
604,9/4/2021 5:40,0.27,low
605,9/4/2021 12:58,0.8,high
606,9/4/2021 17:44,0.61,low
607,9/4/2021 23:17,0.81,high
608,9/5/2021 6:46,0.27,low
609,9/5/2021 14:06,0.81,high
610,9/5/2021 19:09,0.6,low
611,9/6/2021 0:30,0.78,high
612,9/6/2021 7:53,0.27,low
613,9/6/2021 15:00,0.83,high
614,9/6/2021 20:39,0.55,low
615,9/7/2021 1:44,0.79,high
616,9/7/2021 8:55,0.26,low
617,9/7/2021 15:42,0.86,high
618,9/7/2021 21:42,0.48,low
619,9/8/2021 2:57,0.82,high
620,9/8/2021 9:51,0.27,low
621,9/8/2021 16:19,0.88,high
622,9/8/2021 22:31,0.41,low
623,9/9/2021 4:02,0.86,high
624,9/9/2021 10:39,0.29,low
625,9/9/2021 16:52,0.9,high
626,9/9/2021 23:14,0.35,low
627,9/10/2021 4:57,0.9,high
628,9/10/2021 11:23,0.32,low
629,9/10/2021 17:24,0.92,high
630,9/10/2021 23:55,0.31,low
631,9/11/2021 5:48,0.93,high
632,9/11/2021 12:05,0.36,low
633,9/11/2021 17:57,0.94,high
634,9/12/2021 0:37,0.27,low
635,9/12/2021 6:37,0.94,high
636,9/12/2021 12:45,0.4,low
637,9/12/2021 18:30,0.95,high
638,9/13/2021 1:21,0.25,low
639,9/13/2021 7:27,0.94,high
640,9/13/2021 13:25,0.43,low
641,9/13/2021 19:06,0.96,high
642,9/14/2021 2:05,0.23,low
643,9/14/2021 8:19,0.92,high
644,9/14/2021 14:06,0.47,low
645,9/14/2021 19:43,0.96,high
646,9/15/2021 2:50,0.23,low
647,9/15/2021 9:13,0.89,high
648,9/15/2021 14:47,0.5,low
649,9/15/2021 20:24,0.95,high
650,9/16/2021 3:36,0.23,low
651,9/16/2021 10:14,0.86,high
652,9/16/2021 15:32,0.53,low
653,9/16/2021 21:10,0.92,high
654,9/17/2021 4:26,0.24,low
655,9/17/2021 11:19,0.83,high
